Title,Artist
Like a Rolling Stone,Bob Dylan
(I Can't Get No) Satisfaction,The Rolling Stones
Good Vibrations,The Beach Boys
Smells Like Teen Spirit,Nirvana
Respect,Aretha Franklin
Sittin' on the Dock of the Bay,Otis Redding
I Heard It Through the Grapevine,Marvin Gaye
Johnny B. Goode,Chuck Berry
Stairway to Heaven,Led Zeppelin
Louie Louie,The Kingsmen
Anarchy in the U.K.,Sex Pistols
Strawberry Fields Forever,The Beatles
Be My Baby,The Ronettes
Heartbreak Hotel,Elvis Presley
The Message,Grandmaster Flash and The Furious Five
My Generation,The Who
You Really Got Me,The Kinks
Love Will Tear Us Apart,Joy Division
What's Going On,Marvin Gaye
A Day in the Life,The Beatles
Born to Run,Bruce Springsteen
River Deep Mountain High,Ike and Tina Turner
God Save the Queen,Sex Pistols
Imagine,John Lennon
I Want to Hold Your Hand,The Beatles
You've Lost That Lovin' Feelin',The Righteous Brothers
Billie Jean,Michael Jackson
Tutti Frutti,Little Richard
What'd I Say,Ray Charles
Reach Out (I'll Be There),The Four Tops
I Want You Back,The Jackson 5
Light My Fire,The Doors
Superstition,Stevie Wonder
That'll Be the Day,The Crickets
Jumpin' Jack Flash,The Rolling Stones
Mr. Tambourine Man,The Byrds
Hey Jude,The Beatles
London Calling,The Clash
(We're Gonna) Rock Around the Clock,Bill Haley and His Comets
Hotel California,The Eagles
Losing My Religion,R.E.M.
Hey Ya!,OutKast
Layla,Derek and The Dominos
When Doves Cry,Prince and The Revolution
Every Breath You Take,The Police
Purple Haze,The Jimi Hendrix Experience
Bitter Sweet Symphony,The Verve
Sympathy for the Devil,The Rolling Stones
Dancing in the Street,Martha and The Vandellas
The Tracks of My Tears,Smokey Robinson and The Miracles
Proud Mary,Creedence Clearwater Revival
God Only Knows,The Beach Boys
Hound Dog,Elvis Presley
Common People,Pulp
Take Me Out,Franz Ferdinand
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
Let's Stay Together,Al Green
Loser,Beck
Waterloo Sunset,The Kinks
Stand by Me,Ben E. King
Bohemian Rhapsody,Queen
Bridge Over Troubled Water,Simon and Garfunkel
When a Man Loves a Woman,Percy Sledge
Walk on the Wild Side,Lou Reed
Heroes,David Bowie
Blue Monday,New Order
That's All Right (Mama),Elvis Presley
House of the Rising Sun,The Animals
Suspicious Minds,Elvis Presley
Runaway,Del Shannon
Get Ur Freak On,Missy Misdemeanor Elliott
Summertime Blues,Eddie Cochran
All Along the Watchtower,The Jimi Hendrix Experience
Unfinished Sympathy,Massive
Green Onions,Booker T. & The MG's
Fight the Power,Public Enemy
Live Forever,Oasis
No Woman No Cry,Bob Marley and The Wailers
Walk This Way,Run-D.M.C.
Maybellene,Chuck Berry
Blue Suede Shoes,Carl Perkins
Sweet Child O' Mine,Guns 'n' Roses
A Change Is Gonna Come,Sam Cooke
Whole Lotta Love,Led Zeppelin
Little Red Corvette,Prince and The Revolution
Mystery Train,Elvis Presley
In the Midnight Hour,Wilson Pickett
Crazy in Love,Beyonce
I Walk the Line,Johnny Cash
My Girl,The Temptations
One,U2
Don't Be Cruel,Elvis Presley
Peggy Sue,Buddy Holly
Stayin' Alive,The Bee Gees
Yesterday,The Beatles
Maggie May,Rod Stewart
Good Times,Chic
She Loves You,The Beatles
California Dreamin',The Mamas and the Papas
For What It's Worth,Buffalo Springfield
Ghost Town,The Specials
"Oh, Pretty Woman",Roy Orbison
Great Balls of Fire,Jerry Lee Lewis
Nothing Compares 2 U,Sinéad O'Connor
I'm So Lonesome I Could Cry,Hank Williams
Will You Love Me Tomorrow,The Shirelles
Brown Eyed Girl,Van Morrison
Papa's Got a Brand New Bag,James Brown
Wonderwall,Oasis
Honky Tonk Women,The Rolling Stones
Gloria,Them
Born Slippy (NUXX),Underworld
A Whiter Shade of Pale,Procol Harum
Fortunate Son,Creedence Clearwater Revival
Papa Was a Rolling Stone,The Temptations
This Charming Man,The Smiths
Won't Get Fooled Again,The Who
Get It On (Bang a Gong),T. Rex
Walk On By,Dionne Warwick
Song 2,Blur
"Shake, Rattle and Roll",Big Joe Turner
Eight Miles High,The Byrds
Space Oddity,David Bowie
Sexual Healing,Marvin Gaye
Dancing Queen,ABBA
Nuthin' But a 'G' Thang,Dr. Dre Feat. Snoop Doggy Dogg
Don't Worry Baby,The Beach Boys
Once in a Lifetime,Talking Heads
Work It,Missy Misdemeanor Elliott
Only the Lonely,Roy Orbison
Family Affair,Sly and the Family Stone
Get Up (I Feel Like Being a) Sex Machine,James Brown
La Bamba,Ritchie Valens
Be Bop a Lula,Gene Vincent and His Blue Caps
Bye Bye Love,The Everly Brothers
People Get Ready,The Impressions
(White Man) In Hammersmith Palais,The Clash
Creep,Radiohead
Sign 'O' the Times,Prince
Subterranean Homesick Blues,Bob Dylan
Brown Sugar,The Rolling Stones
Help!,The Beatles
Ziggy Stardust,David Bowie
In My Life,The Beatles
Gimme Shelter,The Rolling Stones
Kiss,Prince and The Revolution
Why Do Fools Fall in Love,The Teenagers Feat. Frankie Lymon
Folsom Prison Blues,Johnny Cash
Penny Lane,The Beatles
Jump,Van Halen
Seven Nation Army,The White Stripes
Stop! In the Name of Love,The Supremes
Virginia Plain,Roxy Music
Beat It,Michael Jackson
Changes,David Bowie
Tainted Love,Soft Cell
Rapper's Delight,The Sugarhill Gang
Waiting for the Man,The Velvet Underground
Crazy,Patsy Cline
The Rockafeller Skank,Fatboy Slim
The Twist,Chubby Checker
Wild Thing,The Troggs
Da Doo Ron Ron,The Crystals
Firestarter,The Prodigy
Blitzkrieg Bop,Ramones
Blueberry Hill,Fats Domino
All I Have to Do Is Dream,The Everly Brothers
Fools Gold,The Stone Roses
Paranoid,Black Sabbath
Wichita Lineman,Glen Campbell
I Feel Love,Donna Summer
Can't Get You Out of My Head,Kylie Minogue
Cannonball,The Breeders
Many Rivers to Cross,Jimmy Cliff
1 Thing,Amerie
Bring the Noise,Public Enemy
96 Tears,Question Mark and the Mysterians
Bo Diddley,Bo Diddley
Gimme Some Lovin',Spencer Davis Group
Tomorrow Never Knows,The Beatles
How Soon Is Now?,The Smiths
Don't You Want Me,The Human League
Gold Digger,Kanye West
